Team,"Name of University (If Applicable)",Address,"M/F or Coed","Team Email:",Active,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Cornell Sitara","Cornell University","Ithaca, NY",Coed,cusitara@gmail.com,Y,42.402794,-76.483999,1,place,,,,,Ithaca,NY,"Tompkins County",14850,US,"TIGER/Line® dataset from the US Census Bureau"
"CSUF Nazara","California State University - Fullerton","Fullerton, CA ",Coed,csufnazara@gmail.com,Y,33.879768,-117.896341,1,place,,,,,Fullerton,CA,"Orange County",92831,US,"TIGER/Line® dataset from the US Census Bureau"
"Delaware Kamaal","University of Delaware","Newark, DE ",Coed,delawarekamaal@gmail.com,Y,39.614737,-75.701277,1,place,,,,,Newark,DE,"New Castle County",19702,US,"TIGER/Line® dataset from the US Census Bureau"
"Detroit Kohinoor",-,"Detroit, MI",M,"dance.kohinoor@gmail.com ",Y,42.347021,-83.060184,1,place,,,,,Detroit,MI,"Wayne County",48201,US,"TIGER/Line® dataset from the US Census Bureau"
"DFD Academy",-,"Boston, MA",Coed,devikafusiondance@gmail.com,Y,42.370567,-71.026964,1,place,,,,,Boston,MA,"Suffolk County",02101,US,"TIGER/Line® dataset from the US Census Bureau"
"Drexel Fanaa","Drexel University","Philadelphia, PA ",Coed,drexelfanaa@gmail.com,Y,40.001811,-75.11787,1,place,,,,,Philadelphia,PA,"Philadelphia County",19019,US,"TIGER/Line® dataset from the US Census Bureau"
"Drexel Jhalak","Drexel University","Philadelphia, PA ",F,drexeljhalak@gmail.com,Y,40.001811,-75.11787,1,place,,,,,Philadelphia,PA,"Philadelphia County",19019,US,"TIGER/Line® dataset from the US Census Bureau"
"Duke Rhydhun","Duke University","Durham, NC",Coed,dukerhydhun@gmail.com,Y,35.99924,-78.897944,1,place,,,,,Durham,NC,"Durham County",27701,US,"TIGER/Line® dataset from the US Census Bureau"
"Gator Adaa","University of Florida","Gainesville, FL",F,gatorfusion@gmail.com,Y,29.648993,-82.324515,1,place,,,,,Gainesville,FL,"Alachua County",32601,US,"TIGER/Line® dataset from the US Census Bureau"
"Georgia Saazish","University of Georgia","Athens, GA ",M,saazishdance@gmail.com,Y,33.992902,-83.353697,1,place,,,,,Athens,GA,"Clarke County",30601,US,"TIGER/Line® dataset from the US Census Bureau"
"Georgia Tech Nazaaqat","Georgia Institute of Technology","Atlanta, GA ",F,nazaaqat@gmail.com,Y,33.844371,-84.47405,1,place,,,,,Atlanta,GA,"Fulton County",30301,US,"TIGER/Line® dataset from the US Census Bureau"
"GT Qurbani","Georgia Institute of Technology","Atlanta, GA ",M,georgiatechqurbani@gmail.com,Y,33.844371,-84.47405,1,place,,,,,Atlanta,GA,"Fulton County",30301,US,"TIGER/Line® dataset from the US Census Bureau"
"GT Tufaan ","Georgia Institute of Technology, Georgia State University ","Atlanta, GA",Coed,tufaandance@gmail.com,Y,33.844371,-84.47405,1,place,,,,,Atlanta,GA,"Fulton County",30301,US,"TIGER/Line® dataset from the US Census Bureau"
"GW Chamak","George Washington University","Washington, DC",F,dancegwchamak@gmail.com,Y,38.911936,-77.016719,1,place,,,,,Washington,DC,"District of Columbia",20001,US,"TIGER/Line® dataset from the US Census Bureau"
"Harvard Raftaar",Harvard,"Cambridge, MA",Coed,harvardraftaar@gmail.com,Y,42.380442,-71.132947,1,place,,,,,Cambridge,MA,"Middlesex County",02138,US,"TIGER/Line® dataset from the US Census Bureau"
"Hoosier Hamzath","Indiana University","Bloomington, IN",M,iujhanak@gmail.com,Y,39.07881,-86.435094,1,place,,,,,Bloomington,IN,"Monroe County",47401,US,"TIGER/Line® dataset from the US Census Bureau"
"Houston Jannat","University of Houston","Houston, TX",Coed,houstonjannat@gmail.com,Y,29.813142,-95.309789,1,place,,,,,Houston,TX,"Harris County",77001,US,"TIGER/Line® dataset from the US Census Bureau"
"Iowa Andhi","University of Iowa","Iowa City, IA",Coed,iowa.andhi@gmail.com,Y,41.634209,-91.49905,1,place,,,,,"Iowa City",IA,"Johnson County",52240,US,"TIGER/Line® dataset from the US Census Bureau"
"ISU Bhakti","Illinois State University","Normal, Illinois",Coed,kkurian@ilstu.edu,Y,40.529083,-88.958937,1,place,,,,,Normal,IL,"McLean County",61761,US,"TIGER/Line® dataset from the US Census Bureau"
"IU Jhanak","Indiana University","Bloomington, IN",F,iujhanak@gmail.com,Y,39.07881,-86.435094,1,place,,,,,Bloomington,IN,"Monroe County",47401,US,"TIGER/Line® dataset from the US Census Bureau"
"JHU Josh","Johns Hopkins University","Baltimore, MD ",F,joshjohnshopkins@gmail.com,Y,39.296536,-76.623489,1,place,,,,,Baltimore,MD,"Baltimore city",21201,US,"TIGER/Line® dataset from the US Census Bureau"
"JHU Zinda","Johns Hopkins University","Baltimore, MD ",Coed,jhuzinda@gmail.com,Y,39.296536,-76.623489,1,place,,,,,Baltimore,MD,"Baltimore city",21201,US,"TIGER/Line® dataset from the US Census Bureau"
"KC Chakra","University of Missouri - Kansas City","Kansas City, MO",Coed,kcchakra4@gmail.com,Y,39.102404,-94.598583,1,place,,,,,"Kansas City",MO,"Jackson County",64101,US,"TIGER/Line® dataset from the US Census Bureau"
"Kentucky Karana","University of Kentucky","Lexington, KY",Coed,kentuckykarana@gmail.com,Y,38.037847,-84.61645,1,place,,,,,Lexington,KY,"Fayette County",40501,US,"TIGER/Line® dataset from the US Census Bureau"
"KU Jeeva","University of Kansas","Lawrence, KS",Coed,kansasjeevafusion@gmail.com,Y,39.023294,-95.208909,1,place,,,,,Lawrence,KS,"Douglas County",66044,US,"TIGER/Line® dataset from the US Census Bureau"
"LSU Rudra Fusion","Louisiana State University","Baton Rouge, LA",Coed,rudrafusionlsu@gmail.com,Y,30.44924,-91.185607,1,place,,,,,"Baton Rouge",LA,"East Baton Rouge Parish",70801,US,"TIGER/Line® dataset from the US Census Bureau"
"Macaulay Deewane","Macaulay Honors College","New York, NY ",Coed,deewane@macaulay.cuny.edu,Y,40.68863,-74.018244,1,place,,,,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
"Marquette Mazaa","Marquette University","Milwaukee, WI",Coed,mazaamarquette@gmail.com,Y,43.011264,-87.958409,1,place,,,,,Milwaukee,WI,"Milwaukee County",53201,US,"TIGER/Line® dataset from the US Census Bureau"
"Maryland Dhoom","University of Maryland","College Park, MD",F,marylandhoom@gmail.com,Y,39.002867,-76.931652,1,place,,,,,"College Park",MD,"Prince George's County",20740,US,"TIGER/Line® dataset from the US Census Bureau"
"Mason Ke Rang","George Mason University","Fairfax, VA ",Coed,gmu.rang@gmail.com,Y,38.853231,-77.305097,1,place,,,,,Fairfax,VA,"Fairfax city",22030,US,"TIGER/Line® dataset from the US Census Bureau"
"Miami Nishaana","Miami University","Athens, OH",F,nishaanadance@gmail.com,Y,39.339279,-82.013803,1,place,,,,,Athens,OH,"Athens County",45701,US,"TIGER/Line® dataset from the US Census Bureau"
"Miami UJhoom","University of Miami","Miami, FL",F,ujhoom@gmail.com,Y,25.558428,-80.458168,1,place,,,,,Miami,FL,"Miami-Dade County",33231,US,"TIGER/Line® dataset from the US Census Bureau"
"Michigan Izzat","University of Michigan","Ann Arbor, MI",M,michiganizzat@gmail.com,Y,42.266638,-83.849042,1,place,,,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"Michigan Manzil","University of Michigan","Ann Arbor, MI",Coed,umichmanzil@gmail.com,Y,42.266638,-83.849042,1,place,,,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"MIchigan Taal","University of Michigan","Ann Arbor, MI ",F,michigantaal@gmail.com,Y,42.266638,-83.849042,1,place,,,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"Minnesota Junoon","University of Minnesota","Minneapolis, MN",Coed,mnjunoon@umn.edu,Y,44.984577,-93.269097,1,place,,,,,Minneapolis,MN,"Hennepin County",55401,US,"TIGER/Line® dataset from the US Census Bureau"
"MIT Mirchi","Massachusetts Institute of Technology","Cambridge, MA",Coed,mirchi-exec@mit.edu,Y,42.380442,-71.132947,1,place,,,,,Cambridge,MA,"Middlesex County",02138,US,"TIGER/Line® dataset from the US Census Bureau"
"NCSU Nazaare","North Carolina State University","Raleigh, NC",Coed,ncsunazaare@gmail.com,Y,35.773632,-78.634457,1,place,,,,,Raleigh,NC,"Wake County",27601,US,"TIGER/Line® dataset from the US Census Bureau"
"Northwestern Deeva","Northwestern University","Evanston, IL ",F,deevadance@gmail.com,Y,42.049148,-87.702155,1,place,,,,,Evanston,IL,"Cook County",60201,US,"TIGER/Line® dataset from the US Census Bureau"
"Nova Nassa","Villanova University","Villanova, PA",Coed,novanassa@gmail.com,Y,40.027909,-75.369458,1,place,,,,,Villanova,PA,"Delaware County",19085,US,"TIGER/Line® dataset from the US Census Bureau"
"NSU Maasti","Nova Southeastern University","Ft Lauderdale, FL",Coed,nsumaasti@gmail.com,Y,26.121323,-80.127909,1,place,,,,,"Fort Lauderdale",FL,"Broward County",33301,US,"TIGER/Line® dataset from the US Census Bureau"
"NU Rangila","Northeastern University","Boston, MA",F,rangilarhythms01@gmail.com,Y,42.370567,-71.026964,1,place,,,,,Boston,MA,"Suffolk County",02101,US,"TIGER/Line® dataset from the US Census Bureau"
"NYU Dillagi","New York University","New York, NY ",Coed,nyudillagi@gmail.com,Y,40.68863,-74.018244,1,place,,,,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
"NYU Khalbali","New York University","New York, NY ",F,nyukhalbali@gmail.com,Y,40.68863,-74.018244,1,place,,,,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
"NYU Nasha","New York University","New York, NY ",F,nyunasha@gmail.com,Y,40.68863,-74.018244,1,place,,,,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
"NYU Pandemonium","New York University","New York, NY ","M ",nyupandemonium@gmail.com,Y,40.68863,-74.018244,1,place,,,,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
"OSU Genesis","Ohio State University","Columbus, OH","M ",osugenesis@gmail.com,Y,40.100924,-83.013402,1,place,,,,,Columbus,OH,"Franklin County",43085,US,"TIGER/Line® dataset from the US Census Bureau"
"Penn Dhamaka","University of Pennsylvania","Philadephia, PA",M,board@penndhamaka.com,Y,40.902496,-77.833451,1,state,,,,,,PA,,,US,"US Census Bureau"
"Penn Masti","University of Pennsylvania","Philadelphia, PA",Coed,pennmasti@gmail.com,Y,40.001811,-75.11787,1,place,,,,,Philadelphia,PA,"Philadelphia County",19019,US,"TIGER/Line® dataset from the US Census Bureau"
"Philly Maza",-,"Philadelphia, PA",Coed,phillymaza@gmail.com,Y,40.001811,-75.11787,1,place,,,,,Philadelphia,PA,"Philadelphia County",19019,US,"TIGER/Line® dataset from the US Census Bureau"
"Pitt Mastana","University of Pittsburgh","Pittsburgh, PA",Coed,pittmastana@gmail.com,Y,40.47441,-79.950968,1,place,,,,,Pittsburgh,PA,"Allegheny County",15201,US,"TIGER/Line® dataset from the US Census Bureau"
"Princeton Naacho","Princeton University","Princeton, NJ",Coed,naacho@princeton.edu,Y,40.343625,-74.693953,1,place,,,,,Princeton,NJ,"Mercer County",08540,US,"TIGER/Line® dataset from the US Census Bureau"
"PSU JaDhoom","Pennsylvania State University","University Park, PA",Coed,psujadhoom@gmail.com,Y,40.799672,-77.862339,1,place,,,,,"University Park",PA,"Centre County",16802,US,"TIGER/Line® dataset from the US Census Bureau"
"Queen City Ishaare","University of North Carolina - Charlotte","Charlotte, NC",Coed,unccdanceteam@gmail.com,Y,35.26002,-80.804151,1,place,,,,,Charlotte,NC,"Mecklenburg County",28201,US,"TIGER/Line® dataset from the US Census Bureau"
"Rice Riyaaz","Rice University","Houston, TX",Coed,riceriyaaz@gmail.com,Y,29.813142,-95.309789,1,place,,,,,Houston,TX,"Harris County",77001,US,"TIGER/Line® dataset from the US Census Bureau"
"RPI Rounak","Rensselaer Polytechnic Institute","Rensselaer, NY",Coed,rpirounak@gmail.com,Y,42.64258,-73.7429,1,place,,,,,Rensselaer,NY,"Rensselaer County",12144,US,"TIGER/Line® dataset from the US Census Bureau"
"Rutgers Ehsaas","Rutgers University","Newark, NJ",Coed,ehsaasdance@gmail.com,Y,40.736101,-74.22509,1,place,,,,,Newark,NJ,"Essex County",07101,US,"TIGER/Line® dataset from the US Census Bureau"
"Rutgers SAPA","Rutgers University","New Brunswick, NJ",Coed,rusapa@gmail.com,Y,40.486754,-74.444395,1,place,,,,,"New Brunswick",NJ,"Middlesex County",08901,US,"TIGER/Line® dataset from the US Census Bureau"
"SBU Junoon","Stony Brook University","New York City, NY",Coed,sbujunoon@gmail.com,Y,40.68863,-74.018244,1,place,,,,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
"SJSU Sahaara","San Jose State University","San José, CA",Coed,sahaara.sjsu@gmail.com,Y,37.189396,-121.705327,1,place,,,,,"San Jose",CA,"Santa Clara County",95101,US,"TIGER/Line® dataset from the US Census Bureau"
"SJU Raaz","St. John's University","Jamaica, NY",F,sjuraaz@gmail.com,Y,40.651378,-73.870779,1,place,,,,,Jamaica,NY,"Queens County",11405,US,"TIGER/Line® dataset from the US Census Bureau"
"SLU Shakti","Saint Louis University","St. Louis, MO ",Coed,slushakti@gmail.com,Y,38.631501,-90.19231,1,place,,,,,"Saint Louis",MO,"St. Louis city",63101,US,"TIGER/Line® dataset from the US Census Bureau"
"Spartan Badmaash","Michigan State University","East Lansing, MI",M,spartanbadmaash@gmail.com,Y,42.763888,-84.458771,1,place,,,,,"East Lansing",MI,"Ingham County",48823,US,"TIGER/Line® dataset from the US Census Bureau"
"Spartan Zaariya","Michigan State University","East Lansing, MI",Coed,msu.spartanzaariya@gmail.com,Y,42.763888,-84.458771,1,place,,,,,"East Lansing",MI,"Ingham County",48823,US,"TIGER/Line® dataset from the US Census Bureau"
"Tashan Dance Company","McGill University","Montreal, Canada",F,tashanperformingarts@gmail.com,Y,45.497216,-73.610364,0.8,place,,,,,Montreal,QC,,H3V,CA,"CanVec+ by Natural Resources Canada"
"TCNJ Saathiya","The College of New Jersey (TCNJ)","Ewingville, NJ",Coed,tcnjsaathiya@gmail.com,Y,40.284308,-74.717976,0.8,place,,,,,Ewingville,NJ,"Mercer County",08648,US,"TIGER/Line® dataset from the US Census Bureau"
"Temple Agni","Temple University","Philadelphia, PA",F,agni@temple.edu,Y,40.001811,-75.11787,1,place,,,,,Philadelphia,PA,"Philadelphia County",19019,US,"TIGER/Line® dataset from the US Census Bureau"
"Texas Mohini","University of Texas - Austin","Austin, TX",F,mohinidance@gmail.com,Y,30.326374,-97.771258,1,place,,,,,Austin,TX,"Travis County",73301,US,"TIGER/Line® dataset from the US Census Bureau"
"Texas Talaash","Univeristy of Texas - Austin ","Austin, TX",M,texastalash@gmail.com,Y,30.326374,-97.771258,1,place,,,,,Austin,TX,"Travis County",73301,US,"TIGER/Line® dataset from the US Census Bureau"
"Tufts Tamasha","Tufts University","Medford, MA ",F,tuftstamasha@gmail.com,Y,42.446396,-71.459405,1,place,,,,,Medford,MA,"Middlesex County",02153,US,"TIGER/Line® dataset from the US Census Bureau"
"Tulane Jazbaa","Tulane University","New Orleans, LA",Coed,tulanejazbaa@gmail.com,Y,29.958304,-90.077,1,place,,,,,"New Orleans",LA,"Orleans Parish",70112,US,"TIGER/Line® dataset from the US Census Bureau"
"TWU Chingaarii","Texas Women's University","Denton, TX ",F,chingaarii.dance@gmail.com,Y,33.220974,-97.146038,1,place,,,,,Denton,TX,"Denton County",76201,US,"TIGER/Line® dataset from the US Census Bureau"
"UAB Rangeela","University of Alabama - Birmingham","Birmingham, AL ",Coed,uabrangeela@gmail.com,Y,33.456412,-86.801904,1,place,,,,,Birmingham,AL,"Jefferson County",35201,US,"TIGER/Line® dataset from the US Census Bureau"
"UBC Junoon","University of British Columbia","Vancouver, Canada",Coed,ubcjunoon@gmail.com,Y,49.260872,-123.113953,0.8,place,,,,,Vancouver,BC,,V5Y,CA,"CanVec+ by Natural Resources Canada"
"UC Dhadak","University of Cincinnati","Cincinnati, OH",Coed,idt.dhadak@gmail.com,Y,39.166759,-84.53822,1,place,,,,,Cincinnati,OH,"Hamilton County",45201,US,"TIGER/Line® dataset from the US Census Bureau"
"UCB Azaad","University of California - Berkeley","Berkeley CA",Coed,ucb.azaad@gmail.com,Y,37.860576,-122.29673,1,place,,,,,Berkeley,CA,"Alameda County",94701,US,"TIGER/Line® dataset from the US Census Bureau"
"UCB Zahanat","University of California - Berkeley","Berkeley, CA ",M,ucberkeleyzahanat@gmail.com,Y,37.860576,-122.29673,1,place,,,,,Berkeley,CA,"Alameda County",94701,US,"TIGER/Line® dataset from the US Census Bureau"
"UCD Lashkara","University of California - Davis","Davis, CA",Coed,ucdlashkara@gmail.com,Y,38.55413,-121.798469,1,place,,,,,Davis,CA,"Yolo County",95616,US,"TIGER/Line® dataset from the US Census Bureau"
"UCI Zamana","University of California - Irvine","Irvine, CA",Coed,ucirvinezamana@gmail.com,Y,33.757245,-117.750414,1,place,,,,,Irvine,CA,"Orange County",92602,US,"TIGER/Line® dataset from the US Census Bureau"
"UCLA Nashaa","University of California - Los Angeles","Los Angeles, CA ",Coed,uclanashaa@gmail.com,Y,33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau"
"UConn Surya","University of Connecticut","Storrs, CT",F,uconnsurya@gmail.com,Y,41.801119,-72.245399,0.9,place,,,,,Storrs,CT,"Tolland County",06268,US,"TIGER/Line® dataset from the US Census Bureau"
"UCR Afsana","University of California - Riverside","Riverside, CA",Coed,ucrafsana@gmail.com,Y,33.99504,-117.373184,1,place,,,,,Riverside,CA,"Riverside County",92501,US,"TIGER/Line® dataset from the US Census Bureau"
"UCSB Taara","University of California - Santa Barbara","Santa Barbara, CA",F,ucsbtaara@gmail.com,Y,34.421897,-119.707135,1,place,,,,,"Santa Barbara",CA,"Santa Barbara County",93101,US,"TIGER/Line® dataset from the US Census Bureau"
"UCSC Kahaani","University of California - Santa Cruz","Santa Cruz, CA",Coed,ucsckahaani@gmail.com,Y,37.052748,-122.111126,1,place,,,,,"Santa Cruz",CA,"Santa Cruz County",95060,US,"TIGER/Line® dataset from the US Census Bureau"
"UCSD Zor","University of California - San Diego","La Jolla, CA",Coed,ucsdzor@gmail.com,Y,32.856347,-117.250058,1,place,,,,,"La Jolla",CA,"San Diego County",92037,US,"TIGER/Line® dataset from the US Census Bureau"
"UGA Asura","University of Georgia","Athens, GA ",Coed,ugaasura@gmail.com,Y,33.992902,-83.353697,1,place,,,,,Athens,GA,"Clarke County",30601,US,"TIGER/Line® dataset from the US Census Bureau"
"UGA Shikaari","University of Georgia","Athens, GA ",F,ugashikaari@gmail.com,Y,33.992902,-83.353697,1,place,,,,,Athens,GA,"Clarke County",30601,US,"TIGER/Line® dataset from the US Census Bureau"
"UIUC Fizaa","University of Illinois - Urbana Champaign","Champaign, IL",Coed,uiucfizaa@gmail.com,Y,40.10789,-88.244266,1,place,,,,,Champaign,IL,"Champaign County",61820,US,"TIGER/Line® dataset from the US Census Bureau"
"UMass Dhadak","University of Massachusetts - Amherst","Amherst, MA",Coed,umassdhadak@gmail.com,Y,42.367092,-72.464571,1,place,,,,,Amherst,MA,"Hampshire County",01002,US,"TIGER/Line® dataset from the US Census Bureau"
"UMBC Adaa","University of Maryland - Baltimore County","Baltimore, MD",Coed,adaa.dance@gmail.com,Y,39.296536,-76.623489,1,place,,,,,Baltimore,MD,"Baltimore city",21201,US,"TIGER/Line® dataset from the US Census Bureau"
"UNC Chalkaa","University of North Carolina - Chapel Hill","Chapel Hill, NC",Coed,unc.chalkaa@gmail.com,Y,36.004647,-79.054475,1,place,,,,,"Chapel Hill",NC,"Orange County",27514,US,"TIGER/Line® dataset from the US Census Bureau"
"USC Moksha","University of South Carolina","Columbia, SC",Coed,uscmoksha@gmail.com,Y,33.987454,-81.024864,1,place,,,,,Columbia,SC,"Richland County",29201,US,"TIGER/Line® dataset from the US Census Bureau"
"USC Zeher","University of Southern California","Los Angeles, CA",Coed,usczeher@gmail.com,Y,33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau"
"USci Dhadkan","University of the Sciences","Philadelphia, PA",Coed,usciencesdhadkan@gmail.com,Y,40.001811,-75.11787,1,place,,,,,Philadelphia,PA,"Philadelphia County",19019,US,"TIGER/Line® dataset from the US Census Bureau"
"UT Nach Baliye","University of Texas - Austin","Austin, TX",Coed,utnachbaliye@gmail.com,Y,30.326374,-97.771258,1,place,,,,,Austin,TX,"Travis County",73301,US,"TIGER/Line® dataset from the US Census Bureau"
"UT Punjabbawockeez","University of Texas - Austin","Austin, TX",M,punjabbawockeez@gmail.com,Y,30.326374,-97.771258,1,place,,,,,Austin,TX,"Travis County",73301,US,"TIGER/Line® dataset from the US Census Bureau"
"UT Saaya","University of Texas - Austin","Austin, TX ",Coed,saayadance@gmail.com,Y,30.326374,-97.771258,1,place,,,,,Austin,TX,"Travis County",73301,US,"TIGER/Line® dataset from the US Census Bureau"
"UTD Laksh","University of Texas - Dallas","Dallas, TX",Coed,utdlaksh@gmail.com,Y,32.781179,-96.790329,1,place,,,,,Dallas,TX,"Dallas County",75201,US,"TIGER/Line® dataset from the US Census Bureau"
